Detected language: vi (probability: 100.00%)


Segment 1:
[00:00:00,000 --> 00:00:07,900]
   dạng: 00:00:21,219 --> 00:00:21,219
   dạng: 00:00:21,219 --> 00:00:21,219
   dạng: 00:00:21,219 --> 00:00:21,219
   dạng: 00:00:21,219 --> 00:00:21,219
   dạng: 00:00:21,219 --> 00:00:21,219
   dạng: 00:00:21,219 --> 00:00:21,219
   dạng: 00:00:21,219 --> 00:00:21,219
   dạng: 00:00:21,219 --> 00:00:21,260
   dạng: 00:00:21,260 --> 00:00:21,260
   dạng: 00:00:21,260 --> 00:00:21,660
   dạng: 00:00:21,660 --> 00:00:21,660
   dạng: 00:00:21,660 --> 00:00:21,660
   dạng: 00:00:21,660 --> 00:00:21,980
   dạng: 00:00:21,980 --> 00:00:21,980
   dạng: 00:00:21,980 --> 00:00:21,980
   dạng: 00:00:21,980 --> 00:00:21,980
   dạng: 00:00:21,980 --> 00:00:21,980
   dạng: 00:00:21,980 --> 00:00:21,980
   dạng: 00:00:21,980 --> 00:00:21,980
   dạng: 00:00:21,980 --> 00:00:21,980
   dạng: 00:00:21,980 --> 00:00:21,980
   dạng: 00:00:21,980 --> 00:00:21,980
   dạng: 00:00:21,980 --> 00:00:22,000
   dạng: 00:00:22,000 --> 00:00:22,000
   dạng: 00:00:22,000 --> 00:00:22,000
   dạng: 00:00:22,000 --> 00:00:22,000
   dạng: 00:00:22,000 --> 00:00:22,000
   dạng: 00:00:22,000 --> 00:00:22,000
   dạng: 00:00:22,000 --> 00:00:22,000
   dạng: 00:00:22,000 --> 00:00:22,000
   dạng: 00:00:22,000 --> 00:00:22,000
   dạng: 00:00:22,000 --> 00:00:22,120
   dạng: 00:00:22,120 --> 00:00:22,120
   dạng: 00:00:22,120 --> 00:00:22,620
   dạng: 00:00:22,620 --> 00:00:22,899
   dạng: 00:00:22,899 --> 00:00:22,899
   dạng: 00:00:22,899 --> 00:00:25,920
   dạng: 00:00:25,920 --> 00:00:36,719
--------------------------------------------------------------------------------

Segment 3:
[00:00:42,240 --> 00:01:06,219]
Text: dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạ
Words:
   dạng: 00:00:42,240 --> 00:00:43,159
   dạng: 00:00:43,159 --> 00:00:44,079
   dạng: 00:00:44,079 --> 00:00:45,179
   dạng: 00:00:45,179 --> 00:00:47,979
   dạng: 00:00:47,979 --> 00:00:49,060
   dạng: 00:00:49,060 --> 00:00:52,259
   dạng: 00:00:52,259 --> 00:00:54,560
   dạng: 00:00:54,560 --> 00:00:54,799
   dạng: 00:00:54,799 --> 00:00:54,799
   dạng: 00:00:54,799 --> 00:00:54,799
   dạng: 00:00:54,799 --> 00:00:54,799
   dạng: 00:00:54,799 --> 00:00:54,799
   dạng: 00:00:54,799 --> 00:00:54,799
   dạng: 00:00:54,799 --> 00:00:54,799
   dạng: 00:00:54,799 --> 00:00:54,799
   dạng: 00:00:54,799 --> 00:00:54,840
   dạng: 00:00:54,840 --> 00:00:54,840
   dạng: 00:00:54,840 --> 00:00:54,840
   dạng: 00:00:54,840 --> 00:00:54,840
   dạng: 00:00:54,840 --> 00:00:54,880
   dạng: 00:00:54,880 --> 00:00:54,880
   dạng: 00:00:54,880 --> 00:00:54,880
   dạng: 00:00:54,880 --> 00:00:54,880
   dạng: 00:00:54,880 --> 00:00:55,340
   dạng: 00:00:55,340 --> 00:00:56,079
   dạng: 00:00:56,079 --> 00:00:56,100
   dạng: 00:00:56,100 --> 00:00:56,100
   dạng: 00:00:56,100 --> 00:00:56,100
   dạng: 00:00:56,100 --> 00:00:56,100
   dạng: 00:00:56,100 --> 00:00:56,100
   dạng: 00:00:56,100 --> 00:00:56,100
   dạng: 00:00:56,100 --> 00:00:57,060
   dạng: 00:00:57,060 --> 00:00:57,740
   dạng: 00:00:57,740 --> 00:00:57,740
   dạng: 00:00:57,740 --> 00:00:57,740
   dạng: 00:00:57,740 --> 00:00:57,979
   dạng: 00:00:57,979 --> 00:00:58,000
   dạng: 00:00:58,000 --> 00:00:58,000
   dạng: 00:00:58,000 --> 00:00:58,000
   dạng: 00:00:58,000 --> 00:00:58,000
   dạng: 00:00:58,000 --> 00:00:58,039
   dạng: 00:00:58,039 --> 00:00:58,039
   dạng: 00:00:58,039 --> 00:00:58,039
   dạng: 00:00:58,039 --> 00:00:58,039
   dạng: 00:00:58,039 --> 00:00:58,039
   dạng: 00:00:58,039 --> 00:00:58,039
   dạng: 00:00:58,039 --> 00:00:59,840
   dạng: 00:00:59,840 --> 00:00:59,840
   dạng: 00:00:59,840 --> 00:00:59,840
   dạng: 00:00:59,840 --> 00:00:59,840
   dạng: 00:00:59,840 --> 00:00:59,840
   dạng: 00:00:59,840 --> 00:00:59,840
   dạng: 00:00:59,840 --> 00:00:59,840
   dạng: 00:00:59,840 --> 00:00:59,840
   dạng: 00:00:59,840 --> 00:00:59,840
   dạng: 00:00:59,840 --> 00:00:59,840
   dạng: 00:00:59,840 --> 00:00:59,840
   dạng: 00:00:59,840 --> 00:00:59,840
   dạng: 00:00:59,840 --> 00:00:59,880
   dạng: 00:00:59,880 --> 00:01:01,200
   dạng: 00:01:01,200 --> 00:01:01,439
   dạng: 00:01:01,439 --> 00:01:01,880
   dạng: 00:01:01,880 --> 00:01:01,880
   dạng: 00:01:01,880 --> 00:01:01,880
   dạng: 00:01:01,880 --> 00:01:01,880
   dạng: 00:01:01,880 --> 00:01:01,880
   dạng: 00:01:01,880 --> 00:01:02,320
   dạng: 00:01:02,320 --> 00:01:02,500
   dạng: 00:01:02,500 --> 00:01:02,500
   dạng: 00:01:02,500 --> 00:01:02,500
   dạng: 00:01:02,500 --> 00:01:02,500
   dạng: 00:01:02,500 --> 00:01:02,500
   dạng: 00:01:02,500 --> 00:01:02,920
   dạ: 00:01:02,920 --> 00:01:06,219
--------------------------------------------------------------------------------

Segment 4:
[00:01:06,219 --> 00:01:35,280]
Text: dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạ
Words:
   dạng: 00:01:06,219 --> 00:01:06,420
   dạng: 00:01:06,420 --> 00:01:07,319
   dạng: 00:01:07,319 --> 00:01:08,000
   dạng: 00:01:08,000 --> 00:01:09,400
   dạng: 00:01:09,400 --> 00:01:09,840
   dạng: 00:01:09,840 --> 00:01:11,400
   dạng: 00:01:11,400 --> 00:01:18,280
   dạng: 00:01:18,280 --> 00:01:19,000
   dạng: 00:01:19,000 --> 00:01:19,540
   dạng: 00:01:19,540 --> 00:01:20,040
   dạng: 00:01:20,040 --> 00:01:20,079
   dạng: 00:01:20,079 --> 00:01:20,079
   dạng: 00:01:20,079 --> 00:01:20,079
   dạng: 00:01:20,079 --> 00:01:20,079
   dạng: 00:01:20,079 --> 00:01:20,079
   dạng: 00:01:20,079 --> 00:01:20,079
   dạng: 00:01:20,079 --> 00:01:20,079
   dạng: 00:01:20,079 --> 00:01:20,180
   dạng: 00:01:20,180 --> 00:01:20,180
   dạng: 00:01:20,180 --> 00:01:20,180
   dạng: 00:01:20,180 --> 00:01:20,180
   dạng: 00:01:20,180 --> 00:01:20,180
   dạng: 00:01:20,180 --> 00:01:20,180
   dạng: 00:01:20,180 --> 00:01:20,180
   dạng: 00:01:20,180 --> 00:01:20,180
   dạng: 00:01:20,180 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,299
   dạng: 00:01:20,299 --> 00:01:20,379
   dạng: 00:01:20,379 --> 00:01:20,379
   dạng: 00:01:20,379 --> 00:01:20,379
   dạng: 00:01:20,379 --> 00:01:20,379
   dạng: 00:01:20,379 --> 00:01:20,400
   dạng: 00:01:20,400 --> 00:01:20,400
   dạng: 00:01:20,400 --> 00:01:20,400
   dạng: 00:01:20,400 --> 00:01:20,400
   dạng: 00:01:20,400 --> 00:01:20,400
   dạng: 00:01:20,400 --> 00:01:20,400
   dạng: 00:01:20,400 --> 00:01:20,400
   dạng: 00:01:20,400 --> 00:01:20,400
   dạng: 00:01:20,400 --> 00:01:20,400
   dạng: 00:01:20,400 --> 00:01:20,400
   dạng: 00:01:20,400 --> 00:01:20,400
   dạng: 00:01:20,400 --> 00:01:20,400
   dạng: 00:01:20,400 --> 00:01:20,400
   dạng: 00:01:20,400 --> 00:01:20,400
   dạng: 00:01:20,400 --> 00:01:20,400
   dạ: 00:01:20,400 --> 00:01:35,280
--------------------------------------------------------------------------------

Segment 5:
[00:01:35,280 --> 00:02:05,260]
Text: dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạ
Words:
   dạng: 00:01:35,280 --> 00:01:36,400
   dạng: 00:01:36,400 --> 00:01:37,359
   dạng: 00:01:37,359 --> 00:01:38,000
   dạng: 00:01:38,000 --> 00:01:40,180
   dạng: 00:01:40,180 --> 00:01:49,500
   dạng: 00:01:49,500 --> 00:01:55,040
   dạng: 00:01:55,040 --> 00:01:57,420
   dạng: 00:01:57,420 --> 00:01:58,079
   dạng: 00:01:58,079 --> 00:01:59,060
   dạng: 00:01:59,060 --> 00:01:59,879
   dạng: 00:01:59,879 --> 00:01:59,920
   dạng: 00:01:59,920 --> 00:01:59,939
   dạng: 00:01:59,939 --> 00:02:00,299
   dạng: 00:02:00,299 --> 00:02:00,299
   dạng: 00:02:00,299 --> 00:02:00,340
   dạng: 00:02:00,340 --> 00:02:00,340
   dạng: 00:02:00,340 --> 00:02:00,340
   dạng: 00:02:00,340 --> 00:02:00,359
   dạng: 00:02:00,359 --> 00:02:00,359
   dạng: 00:02:00,359 --> 00:02:00,359
   dạng: 00:02:00,359 --> 00:02:00,359
   dạng: 00:02:00,359 --> 00:02:00,359
   dạng: 00:02:00,359 --> 00:02:00,359
   dạng: 00:02:00,359 --> 00:02:00,359
   dạng: 00:02:00,359 --> 00:02:00,400
   dạng: 00:02:00,400 --> 00:02:01,019
   dạng: 00:02:01,019 --> 00:02:01,019
   dạng: 00:02:01,019 --> 00:02:01,019
   dạng: 00:02:01,019 --> 00:02:01,920
   dạng: 00:02:01,920 --> 00:02:02,439
   dạng: 00:02:02,439 --> 00:02:03,319
   dạng: 00:02:03,319 --> 00:02:03,439
   dạng: 00:02:03,439 --> 00:02:03,439
   dạng: 00:02:03,439 --> 00:02:03,439
   dạng: 00:02:03,439 --> 00:02:03,439
   dạng: 00:02:03,439 --> 00:02:03,439
   dạng: 00:02:03,439 --> 00:02:03,439
   dạng: 00:02:03,439 --> 00:02:03,439
   dạng: 00:02:03,439 --> 00:02:03,459
   dạng: 00:02:03,459 --> 00:02:03,760
   dạng: 00:02:03,760 --> 00:02:03,760
   dạng: 00:02:03,760 --> 00:02:03,760
   dạng: 00:02:03,760 --> 00:02:03,760
   dạng: 00:02:03,760 --> 00:02:03,760
   dạng: 00:02:03,760 --> 00:02:03,760
   dạng: 00:02:03,760 --> 00:02:03,760
   dạng: 00:02:03,760 --> 00:02:03,760
   dạng: 00:02:03,760 --> 00:02:03,760
   dạng: 00:02:03,760 --> 00:02:03,760
   dạng: 00:02:03,760 --> 00:02:03,760
   dạng: 00:02:03,760 --> 00:02:03,760
   dạng: 00:02:03,760 --> 00:02:03,760
   dạng: 00:02:03,760 --> 00:02:03,760
   dạng: 00:02:03,760 --> 00:02:03,760
   dạng: 00:02:03,760 --> 00:02:03,760
   dạng: 00:02:03,760 --> 00:02:03,760
   dạng: 00:02:03,760 --> 00:02:03,760
   dạng: 00:02:03,760 --> 00:02:03,760
   dạng: 00:02:03,760 --> 00:02:03,760
   dạng: 00:02:03,760 --> 00:02:04,140
   dạng: 00:02:04,140 --> 00:02:04,140
   dạng: 00:02:04,140 --> 00:02:04,140
   dạng: 00:02:04,140 --> 00:02:04,140
   dạng: 00:02:04,140 --> 00:02:04,500
   dạng: 00:02:04,500 --> 00:02:04,780
   dạng: 00:02:04,780 --> 00:02:04,900
   dạng: 00:02:04,900 --> 00:02:04,900
   dạng: 00:02:04,900 --> 00:02:04,920
   dạng: 00:02:04,920 --> 00:02:04,920
   dạng: 00:02:04,920 --> 00:02:05,060
   dạng: 00:02:05,060 --> 00:02:05,120
   dạng: 00:02:05,120 --> 00:02:05,260
   dạng: 00:02:05,260 --> 00:02:05,260
   dạ: 00:02:05,260 --> 00:02:05,260
--------------------------------------------------------------------------------

Segment 6:
[00:02:06,540 --> 00:02:12,340]
Text: dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạ
Words:
   dạng: 00:02:06,540 --> 00:02:06,980
   dạng: 00:02:06,980 --> 00:02:07,099
   dạng: 00:02:07,099 --> 00:02:07,299
   dạng: 00:02:07,299 --> 00:02:07,439
   dạng: 00:02:07,439 --> 00:02:07,579
   dạng: 00:02:07,579 --> 00:02:07,579
   dạng: 00:02:07,579 --> 00:02:07,579
   dạng: 00:02:07,579 --> 00:02:07,579
   dạng: 00:02:07,579 --> 00:02:07,579
   dạng: 00:02:07,579 --> 00:02:07,579
   dạng: 00:02:07,579 --> 00:02:07,579
   dạng: 00:02:07,579 --> 00:02:07,579
   dạng: 00:02:07,579 --> 00:02:07,579
   dạng: 00:02:07,579 --> 00:02:07,579
   dạng: 00:02:07,579 --> 00:02:07,579
   dạng: 00:02:07,579 --> 00:02:07,579
   dạng: 00:02:07,579 --> 00:02:07,579
   dạng: 00:02:07,579 --> 00:02:07,579
   dạng: 00:02:07,579 --> 00:02:07,579
   dạng: 00:02:07,579 --> 00:02:07,579
   dạng: 00:02:07,579 --> 00:02:07,579
   dạng: 00:02:07,579 --> 00:02:07,579
   dạng: 00:02:07,579 --> 00:02:07,579
   dạng: 00:02:07,579 --> 00:02:07,579
   dạng: 00:02:07,579 --> 00:02:07,579
   dạng: 00:02:07,579 --> 00:02:08,159
   dạng: 00:02:08,159 --> 00:02:08,620
   dạng: 00:02:08,620 --> 00:02:08,620
   dạng: 00:02:08,620 --> 00:02:08,639
   dạng: 00:02:08,639 --> 00:02:08,860
   dạng: 00:02:08,860 --> 00:02:09,038
   dạng: 00:02:09,038 --> 00:02:09,258
   dạng: 00:02:09,258 --> 00:02:09,379
   dạng: 00:02:09,379 --> 00:02:09,860
   dạng: 00:02:09,860 --> 00:02:09,860
   dạng: 00:02:09,860 --> 00:02:09,860
   dạng: 00:02:09,860 --> 00:02:09,860
   dạng: 00:02:09,860 --> 00:02:10,599
   dạng: 00:02:10,599 --> 00:02:10,599
   dạng: 00:02:10,599 --> 00:02:10,800
   dạng: 00:02:10,800 --> 00:02:11,120
   dạng: 00:02:11,120 --> 00:02:11,340
   dạng: 00:02:11,340 --> 00:02:11,539
   dạng: 00:02:11,539 --> 00:02:11,860
   dạng: 00:02:11,860 --> 00:02:12,099
   dạng: 00:02:12,099 --> 00:02:12,099
   dạng: 00:02:12,099 --> 00:02:12,099
   dạng: 00:02:12,099 --> 00:02:12,099
   dạng: 00:02:12,099 --> 00:02:12,099
   dạng: 00:02:12,099 --> 00:02:12,099
   dạng: 00:02:12,099 --> 00:02:12,099
   dạng: 00:02:12,099 --> 00:02:12,099
   dạng: 00:02:12,099 --> 00:02:12,099
   dạng: 00:02:12,099 --> 00:02:12,099
   dạng: 00:02:12,099 --> 00:02:12,099
   dạng: 00:02:12,099 --> 00:02:12,099
   dạng: 00:02:12,099 --> 00:02:12,099
   dạng: 00:02:12,099 --> 00:02:12,099
   dạng: 00:02:12,099 --> 00:02:12,099
   dạng: 00:02:12,099 --> 00:02:12,099
   dạng: 00:02:12,099 --> 00:02:12,099
   dạng: 00:02:12,099 --> 00:02:12,099
   dạng: 00:02:12,099 --> 00:02:12,099
   dạng: 00:02:12,099 --> 00:02:12,099
   dạng: 00:02:12,099 --> 00:02:12,340
   dạng: 00:02:12,340 --> 00:02:12,340
   dạng: 00:02:12,340 --> 00:02:12,340
   dạng: 00:02:12,340 --> 00:02:12,340
   dạng: 00:02:12,340 --> 00:02:12,340
   dạng: 00:02:12,340 --> 00:02:12,340
   dạng: 00:02:12,340 --> 00:02:12,340
   dạng: 00:02:12,340 --> 00:02:12,340
   dạng: 00:02:12,340 --> 00:02:12,340
   dạ: 00:02:12,340 --> 00:02:12,340
--------------------------------------------------------------------------------
